Date,Close/Last,Volume,Open,High,Low
12/07/2018,$104.84,395367,$108.31,$109.18,$104.26
12/06/2018,$107.53,556935,$106.22,$107.64,$105.31
12/04/2018,$108.37,520758,$111.60,$112.00,$108.08
12/03/2018,$111.68,493433,$111.81,$112.50,$111.08
11/30/2018,$109.60,563538,$108.50,$110.01,$108.42
11/29/2018,$109.21,541243,$108.27,$109.83,$108.06
11/28/2018,$108.33,1035636,$102.64,$108.41,$102.37
11/27/2018,$104.77,1069509,$106.99,$107.29,$103.98
11/26/2018,$109.22,301499,$107.99,$109.39,$107.79
11/23/2018,$106.66,180695,$106.71,$107.66,$106.66
11/21/2018,$106.73,293377,$105.40,$107.79,$105.38
11/20/2018,$105.24,630040,$105.76,$107.04,$104.97
11/19/2018,$108.82,357889,$110.50,$110.5397,$108.64
11/16/2018,$110.74,174884,$110.32,$111.46,$110.0473
11/15/2018,$111.80,446793,$109.75,$112.36,$108.71
11/14/2018,$110.80,428656,$112.57,$113.14,$110.06
11/13/2018,$109.61,578989,$108.92,$111.59,$108.77
11/12/2018,$106.42,742154,$108.59,$108.76,$106.26
11/09/2018,$110.07,1458320,$111.75,$112.36,$108.831
11/08/2018,$114.20,579398,$115.95,$116.71,$113.59
11/07/2018,$116.07,775895,$115.94,$116.93,$115.64
11/06/2018,$115.99,784954,$115.47,$116.37,$114.8691
11/05/2018,$117.58,1797147,$116.42,$118.78,$115.81
11/02/2018,$119.53,679468,$120.24,$120.9491,$117.19
11/01/2018,$119.98,1091151,$120.03,$120.40,$118.13
10/31/2018,$117.11,435836,$117.79,$119.00,$116.64
10/30/2018,$116.28,394300,$114.92,$116.37,$114.40
10/29/2018,$115.02,732242,$117.78,$118.45,$113.56
10/26/2018,$116.17,905228,$113.29,$117.52,$112.97
10/25/2018,$115.38,484738,$114.11,$116.62,$112.90
10/24/2018,$111.79,1187386,$113.42,$113.95,$111.7129
10/23/2018,$115.28,1541805,$112.97,$116.05,$112.33
10/22/2018,$116.28,419342,$115.22,$116.61,$114.56
10/19/2018,$116.51,714159,$115.92,$117.93,$115.76
10/18/2018,$114.25,782203,$116.45,$116.71,$113.93
10/17/2018,$118.93,941203,$119.48,$119.63,$117.60
10/16/2018,$121.75,1402384,$122.80,$123.06,$121.54
10/15/2018,$115.01,650895,$114.68,$116.08,$114.37
10/12/2018,$116.30,741778,$117.62,$118.31,$114.58
10/11/2018,$115.54,1526462,$117.45,$118.06,$114.75
10/10/2018,$117.63,1773362,$123.78,$124.81,$117.63
10/09/2018,$128.95,533593,$127.95,$129.60,$127.3796
10/08/2018,$129.68,887135,$128.81,$130.10,$128.3049
10/05/2018,$132.28,506123,$131.71,$133.44,$131.55
10/04/2018,$133.06,794788,$136.27,$136.39,$131.38
10/03/2018,$135.81,392653,$137.37,$138.173,$135.62
10/02/2018,$137.57,682022,$137.22,$138.21,$136.28
10/01/2018,$137.77,435740,$139.67,$139.81,$137.15
09/28/2018,$136.91,721248,$137.26,$139.12,$136.46
09/27/2018,$140.19,638344,$140.96,$141.47,$139.99
09/26/2018,$140.79,569963,$139.84,$142.5196,$139.78
09/25/2018,$139.04,595372,$140.02,$140.30,$138.45
09/24/2018,$139.00,422755,$137.47,$139.39,$137.19
09/21/2018,$137.47,406505,$137.29,$137.92,$136.18
09/20/2018,$137.29,639701,$135.87,$138.09,$135.72
09/19/2018,$135.81,975515,$136.90,$137.41,$134.7101
09/18/2018,$138.32,1931450,$133.11,$138.59,$132.80
09/17/2018,$132.80,739175,$133.28,$133.78,$131.77
09/14/2018,$132.14,672581,$133.10,$134.30,$131.47
09/13/2018,$133.45,591994,$133.73,$134.75,$133.03
09/12/2018,$132.79,708517,$131.24,$133.23,$130.54
09/11/2018,$129.54,706977,$125.70,$130.36,$125.25
09/10/2018,$126.74,401136,$127.41,$127.67,$126.08
09/07/2018,$126.86,294310,$126.20,$128.00,$125.96
09/06/2018,$126.43,439652,$126.05,$127.29,$126.05
